	User ID	Text ID	Text	Lang	Country by Zone	Country by Location	Drug	ADR
4647	9.63E+17	9.63E+17	@foxandfriends The oxy moronic bi-polar lib turds strike again!	en	Pacific Time (US & Canada)	HAWAII		
4657	9.63E+17	9.63E+17	@notateenmomfan @tiffany__4prez Still not great to mix with benzos. I’ve seen the nod out from taking them together. Breaks my heart	en	Quito	"Toronto/Ottawa, ON"		
4663	9.63E+17	9.63E+17	"“Insanity is doing the same thing, over and over again, but expecting different results.” 
― Narcotics Anonymous"	en	Pacific Time (US & Canada)	Vagina		
4666	9.63E+17	9.63E+17	@bhogleharsha Chasing is always good... Haha... I love to chase... Especially when its heroin	en	Pacific Time (US & Canada)	"Kolkata, India"		
4682	9.63E+17	9.63E+17	How drug company money turned patient groups into 'cheerleaders for opioids' - USA TODAY Opioids now kill more people than breast cancer -	en		Trinidad and Tobago	opioids	deadly
4686	9.63E+17	9.63E+17	"who burned cigarette holes in their arms protesting the narcotic tobacco haze of Capitalism,"	en				
4693	9.63E+17	9.63E+17	"Roses are red
I don't like these pyjamas
Give me some morphine
OR I will threaten to DAMA
#MedTwitterValentines"	en	Australia/Perth	"Perth, WA, OZ"		
4712	9.63E+17	9.63E+17	"and if you slip, you fall in love. now she's gone, now i gotta ball. flex on adderall, sex on tramadol, i guess i'll try 'em all"	en	Atlantic Time (Canada)	"Grand Rapids, MI"	*	
4716	9.63E+17	9.63E+17	Maryland sues Insys to enforce subpoena in opioid probe	en	Monterrey	"Seattle, Washington"		
4717	9.63E+17	9.63E+17	I woke up with heroin.	en	Pacific Time (US & Canada)	tweets every 4 hours		
4720	9.63E+17	9.63E+17	@jono_xyz @conradhackett That still sounds healthier than overdosing on opiates in rural Alabama but I dunno...	en	Eastern Time (US & Canada)			
4781	9.63E+17	9.63E+17	@tonipayne So you take codeine and tramadol too... take it easy bae!	en		"Port Harcourt, Nigeria."		
4812	9.63E+17	9.63E+17	My favorite heroin keerthi	en				
4865	9.63E+17	9.63E+17	"In Oregon, 232 people died from meth use in 2016, nearly twice as many as died from heroin... #TuesdayThoughts #HumanRights"	en		America	heroin	deadly
4884	9.63E+17	9.63E+17	"So many people die of opioid ODs in this country now that average life expectancy is dropping. 

Gah. Americans are awful and stupid."	en	Central Time (US & Canada)	All Over the Place	opioids	deadly
4901	9.63E+17	9.63E+17	@Wilkie8991 It's for smoking heroin in ya fuka	en	Casablanca	 England		
4954	9.63E+17	9.63E+17	Could We Beat the Opioid Epidemic by Easing Pain with Marijuana?	en				
4955	9.63E+17	9.63E+17	@NPR Please send this to Kellyanne Conway.  She thinks opioids are coming from Mexico.	en				
4960	9.63E+17	9.63E+17	Maryland sues Insys to enforce subpoena in opioid probe	en	Chihuahua	Minneapolis		
5124	9.63E+17	9.63E+17	Bay opioids survey yields mixed results	en				
5127	9.63E+17	9.63E+17	@ketapeterdrogen Friss 6 Fentanyl laced Xannys	en	Pacific Time (US & Canada)	G-Town		
5135	9.63E+17	9.63E+17	"Codeine is making me so drowsy, the after effects are making me ill"	en	London	"Cardiff, Wales"	codeine	making ill
5191	9.63E+17	9.63E+17	@consequating @syringe @Narcotics @Savagry1 @__Destroyer__6 Fanboy.. Uses my nane claims to be me lol....	en		www.clownsec.com		
5195	9.63E+17	9.63E+17	@alteredworlds @TransformDrugs Vaping heroin/diamorphine sounds like a great #harmreduction	en		 UK		
5224	9.63E+17	9.63E+17	does anyone have any morphine i can borrow once a month every month until I'm in my mid-to-late forties	en	Atlantic Time (Canada)	statesboring	social	
5234	9.63E+17	9.63E+17	@neverletyoupart @tiffany__4prez I wasn't saying it was. She thought methadone was an opiate.	en	Pacific Time (US & Canada)			
5249	9.63E+17	9.63E+17	"A weird woke take I've seen recently is essentially ""there is no opioid crisis, it's just a moral panic that hurts chronic pain sufferers"""	en	Eastern Time (US & Canada)	"Astoria, Queens"		
5251	9.63E+17	9.63E+17	@TeenMom @F1abraham I think it’s odd @ddanielsen would invite a heroin addict to her wedding. That right there is showing her true colors.	en				
5254	9.63E+17	9.63E+17	@JOE_co_uk Heroin is also healthier than crystal meth	en				
5274	9.63E+17	9.63E+17	@hereisLesley @ericbolling Suboxone and methadone are opiods.	en		"Florida, USA"		
5280	9.63E+17	9.63E+17	"1980s: The War on Crack
2000s: The Opioid Crisis
Fascinating how different the message is with one word 🤔"	en		"Mahopac, NY"		
5293	9.63E+17	9.63E+17	@nytimes Opioid story loved because it let's media bash Pharma. Meth is a homemade crisis.  No political gain in attacking it.	en	Pacific Time (US & Canada)	"Lynnwood, Wa"		
5299	9.63E+17	9.63E+17	Tune in soon to @itvnews to listen to @HelenRCGP speak to opioid prescribing after latest study published by the @BJGPjournal	en	London	UK		
5408	9.63E+17	9.63E+17	baby u could b my heroin	en	Eastern Time (US & Canada)	ny		
5433	9.63E+17	9.63E+17	I knkw sometime I be trippin but I just miss my niggas so I got codeine in my liver	en	Arizona	Batteries plus		
5438	9.63E+17	9.63E+17	"And it’s all I have to say, bye-bye
And you opiate this hazy head of mine
Cause you’re my medicine"	en	Alaska	"Next door, CEB // MNL"		
5480	9.63E+17	9.63E+17	Bay opioids survey yields mixed results	en	Midway Island	"Seattle, Washington"		
5496	9.63E+17	9.63E+17	"Trump budget plan to seek funds for border wall, infrastructure, opioid treatment"	en				
5532	9.63E+17	9.63E+17	@Sugar_Tits_Bear Heroin addicts everywhere would kill for those veins :P	en				
5612	9.63E+17	9.63E+17	Codeine love	en	Pacific Time (US & Canada)	Canada		
5620	9.63E+17	9.63E+17	they want to use codeine to kill me today... Abeg i done tire iNeed Orijin bitters to quench dis birthday	en	Pacific Time (US & Canada)	Punani island		
5644	9.63E+17	9.63E+17	I'm literally addicted to codeine and i can't my pet is sleeping on my lap i don't wanna wake it upbae:	en	Pacific Time (US & Canada)	dat way		
5682	9.63E+17	9.63E+17	"@ihate_everyone2 Come to Camden, NJ where you can find SNAP and EBT on the cheap on the streets right downtown. Mostly sold for heroin."	en		"New Jersey, USA"		
5684	9.63E+17	9.63E+17	I was trying to make a comment about Oxyclean but OxyContin came up instead. What does that tell you about this opioid “crisis”?	en	Quito	CHI ATL LA ✈️		
5709	9.63E+17	9.63E+17	What’s Future best song? I got Codeine Crazy 🤔	en		"Paulsboro, NJ"		
5729	9.63E+17	9.63E+17	@OsborneInk right next to the heroin store. i'm sure there's a yelp review.	en	Pacific Time (US & Canada)	San Francisco and Cleveland		
5754	9.63E+17	9.63E+17	"@ScaramucciPost Get all the addicted on methadone, dry up the heroin supply, then wean them off the methadone."	en		"East Hampton, NY"		
5786	9.63E+17	9.63E+17	@JajaPhD The milligrams of this one's is way higher compare to the normal tramadol	en		"Lagos, Nigeria"		
5800	9.63E+17	9.63E+17	im pretty sure moon rocks have a lil heroin in it lol	en		"Maryland, USA"		
5842	9.63E+17	9.63E+17	"@IainMoppett Relaxants are red
Opioids are blue
If reading labels was enough
Mistakes may not ensue
#MedTwitterValentines"	en	London	UK		
5867	9.63E+17	9.63E+17	@neverletyoupart @notateenmomfan Yeah Some people miss the high from heroin so they mix benzos with methadone to get the same feeling	en	Eastern Time (US & Canada)	"Columbus, Ohio"		
5885	9.63E+17	9.63E+17	#NowPlaying Introduction [MWG] - Opiate for the Masses	en		Draconian Syndicate Guild SH on Nar Shaddaa		
5892	9.63E+17	9.63E+17	I know this is bad but I think Hudson is a little slow developmentally.  And I think Mak happening to Ryan is worse than heroin. #TEENMOMOG	en				
5955	9.63E+17	9.63E+17	@Vernaculis @TheGuardian_002 @That_Layman @Andywarski No. Heroin sports instead.	en	Pacific Time (US & Canada)	"Dramasville, SpasticTube"		
5958	9.63E+17	9.63E+17	Codeine Crazy	en				
5991	9.63E+17	9.63E+17	#Kentucky and #Ohio accounted for 11% of the nation’s #opioid deaths in 2016. #nkychambereggs	en	Eastern Time (US & Canada)	"Alexandria, KY"		
6049	9.63E+17	9.63E+17	@OpWolverines That’s not nice thing to say. You don’t know him. It could’ve been heroin.	en	Tokyo	"Fukuoka-Fukuoka, JAPAN"		
6101	9.63E+17	9.63E+17	"when Tatoo artist use the 💉💉emoji :

Me : like are you gonna tatoo me or we doing Heroin I need to know before I make an appointment."	en	Atlantic Time (Canada)	new jersey 		
6129	9.63E+17	9.63E+17	"""Opioid makers paid millions to advocacy groups: US Senate report"""	en	Brasilia	"Sao Paulo, Brazil"		
6143	9.63E+17	9.63E+17	The best thing about being in gen x is having two larger generations on either side of you who wish you'd just OD'd on heroin in 93	en	Eastern Time (US & Canada)	the northeast		
6157	9.63E+17	9.63E+17	"In the mid-90s, dressing like a heroin addict was in high fashion. The look was referred to as ""heroin chic."""	en	Pacific Time (US & Canada)	"Cali, Colombia"		
6188	9.63E+17	9.63E+17	I'm a opioid user..I have them on repeat prescriptions but I use them only when very necessary #itvnews	en	GMT	Now A ShiteHole		
6206	9.63E+17	9.63E+17	@KING5Seattle Yep let’s give them heroin which is illegal in the U.S. to shoot up. Our country is so ass backwards right now	en	Pacific Time (US & Canada)	Arlington		
6217	9.63E+17	9.63E+17	@JTMann05 @realDonaldTrump @foxandfriends Cannabis doesn't kill! Opiates destroy the body and eventually kill you	en		"Hudson, FL"		
6232	9.63E+17	9.63E+17	.@HelenRCGP tells ITV that people with severe pain need opioid medication - and we don’t have alternatives right now	en	London	UK		
6236	9.63E+17	9.63E+17	"Opioids leading to double the amount of deaths they did a few years ago, so scary 😭"	en			opioids	deadly
6253	9.63E+17	9.63E+17	Issues arise with opioids when treatment is long-term and patients become dependent - @HelenRCGP	en	London	UK		
6274	9.63E+17	9.63E+17	@ILperspective @realDonaldTrump @foxandfriends I wonder if a Mexican illegal immigrant sold him the opiates?	en				
6285	9.63E+17	9.63E+17	@993Cat @craigcampbelltv @Darylesing Looks like #opioids	en	Pacific Time (US & Canada)	United States		
6322	9.63E+17	9.63E+17	Nicotine heroin morphine	en	Midway Island	Shero Mae		
6331	9.63E+17	9.63E+17	@simonemccallion @GavinMorrison2 @larryf88 You never fart? Are u high on tramadol?	en		"Derry, Northern Ireland"		
6336	9.63E+17	9.63E+17	I just tried heroin its good but let's get	en				
6346	9.63E+17	9.63E+17	"SPORTS: Beat-boxer shot whilst smoking heroin with underage teens outside FBI headquarters. ""I've failed my country""."	en	Pacific Time (US & Canada)	The World		
6355	9.63E+17	9.63E+17	tbh if someone would offer me good and pure heroin I'd take it.	en	Helsinki			
6372	9.63E+17	9.63E+17	"just like nicotine. heroin, morphine"	en	International Date Line West	Theatre of Dreams		
6374	9.63E+17	9.63E+17	It's raining. Where is the morphine?	en		Third Space		
6396	9.63E+17	9.63E+17	"@ohnoletsgocrazy Shrooms are great! Heroin, you couldn't pay me to try."	en	Pacific Time (US & Canada)	"San Diego, CA, USA, Earth"		
6418	9.63E+17	9.63E+17	@ThaDoc76 @rlaskowitz60 @CNBC Try heroin and weed.	en				
6427	9.63E+17	9.63E+17	@ScaramucciPost President Trump is working hard to end the Opioid problem in this nation.	en		"Tennessee, USA"		
6505	9.63E+17	9.63E+17	The drug companies that are producing and pushing opioids should be made to pay for the infrastructure upgrades.	en		USA		
6572	9.63E+17	9.63E+17	"Arrogance assumed we’d be the ones on Heroin.

Oops."	en	Eastern Time (US & Canada)	"Frogtown, OH10"		
6581	9.63E+17	9.63E+17	Refusing to be complicit with legalized marijuana dispensaries see fewer opioid deaths.	en		DC & VT-2		
6588	9.63E+17	9.63E+17	"Mhel, Morphine, Money😎"	en	Central Time (US & Canada)	new orleans		
6605	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en	Pacific Time (US & Canada)	"Dallas, Texas"		
6618	9.63E+17	9.63E+17	@Deadspin They know it's cocaine or heroin but they can't tell which one it is?	en	Atlantic Time (Canada)			
6639	9.63E+17	9.63E+17	"@bomani_jones I’ll take seven ecstasies, three marijuanas, and then three or four of whatever benzos you’ve got left."	en	Mountain Time (US & Canada)	"Park City, Utah"		
6671	9.63E+17	9.63E+17	"@Drsteven10 @bomani_jones I’ll take seven ecstasies, three marijuanas, and then three or four of whatever benzos you’ve got left."	en	Mountain Time (US & Canada)	"Park City, Utah"		
6691	9.63E+17	9.63E+17	"Sex doll Sex doll, some boys will take cocaine, tramadol, weed, and codine and fuck the Sex doll till the battery is low."	en	Arizona	"Calabar -Cross River, Nigeria"		
6708	9.63E+17	9.63E+17	OxyContin maker Purdue to stop promoting opioids in light of epidemic	en	Alaska	"Road Town, British Virgin Islands"		
6717	9.63E+17	9.63E+17	@LemonJoy @thefilmgoer @PasteMagazine Meanwhile govt is working overtime to ban kratom. Not an opioid not lethal... and not patented.	en	Tijuana	"California, USA"		
6734	9.63E+17	9.63E+17	Polypharmacy: ~ 1/3 of community-dwelling older adults (ages 62-85 years) take 5 or more prescription medications	en		"Florida, USA"		
6739	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en	Pacific Time (US & Canada)	"Oklahoma City, Oklahoma"		
6741	9.63E+17	9.63E+17	OxyContin maker will stop promoting opioids to doctors	en				
6809	9.63E+17	9.63E+17	@peachykeena @viccccccccccc No offense but your Lyme disease isn’t relative to the opioid&amp; prescription pill epidemic  at all	en	Atlantic Time (Canada)	OH/RI		
6832	9.63E+17	9.63E+17	Plies x Heroin flow	en	Mountain Time (US & Canada)	"Houston, TX"		
6841	9.63E+17	9.63E+17	@coltford Smells like opiates	en	Pacific Time (US & Canada)	United States		
6848	9.63E+17	9.63E+17	@thedailybeast how many food boxes does it take to buy a heroin fix?	en		United States		
6858	9.63E+17	9.63E+17	@MarkChesnutt @Darylesing Smells like opiates	en	Pacific Time (US & Canada)	United States		
6915	9.63E+17	9.63E+17	"@cbrownx @ericbolling @realDonaldTrump I am truly sorry, I lost my brother to heroin."	en		"Houston, TX"		
6918	9.63E+17	9.63E+17	"THE FIRST DAY I TOOK TRAMADOL, I WAS IN MY HOUSE AND I WAS GETTING READY TO GO HOME 

COPIED"	en		"Abuja, nigeria"		
6938	9.63E+17	9.63E+17	"OxyContin maker Purdue to stop promoting opioids to doctors, cut half of sales staff"	en	Indiana (East)	"Hamilton, Bermuda"		
6940	9.63E+17	9.63E+17	"OxyContin maker stops promoting opioids, cuts sales staff"	en				
6955	9.63E+17	9.63E+17	Thugga x Givenchy gives me the same emotion as when I listen to Codeine Crazy.	en	America/New_York	in the cutterino		
7037	9.63E+17	9.63E+17	@justpledis17 Hii💖 nice to meet you💖 my names Vico from PH	en		 Puso ng Seventeen		
7093	9.63E+17	9.63E+17	"@davidleconte97 They gave me the normal flu meds, plus an inhaler, codeine-promethyzene, and a super strong version of ibuprofen lol"	en	Eastern Time (US & Canada)	Some place where it's 5:00		
7098	9.63E+17	9.63E+17	@TellyLaFlare Its a super intense somber feeling with Givenchy. Codeine make me feel like i lost everything but im coming back for more.	en	Central Time (US & Canada)	Neptune	codeine	frustrated
7103	9.63E+17	9.63E+17	This sloth needs Vicodin!	en	Pacific Time (US & Canada)	"Oklahoma, USA"		
7124	9.63E+17	9.63E+17	Thank you @RepSeanMaloney for all the hard work you are doing to end the opioid crisis.  You totally rock!	en	Pacific Time (US & Canada)			
7136	9.63E+17	9.63E+17	Been a week and a day on tramadol and I barely remember any of it 😂😂😂🤷🏼‍♀️	en	Central Time (US & Canada)			
7153	9.63E+17	9.63E+17	@wwingwong But like people are DYING more from the flu than the opioid crisis?!?! So I’ve been scared straight.  Nope.	en		"Queens, NY"		
7159	9.63E+17	9.63E+17	"“Insanity is doing the same thing, over and over again, but expecting different results.” 
― Narcotics Anonymous"	en	Hanoi			
7166	9.63E+17	9.63E+17	@sheryllima Let's not forget the help the North Koreans give to the heroin trade and human trafficking!!	en		"Colorado, USA"		
7193	9.63E+17	9.63E+17	Question: If Methadone is free to addicts because they have a diease... Why isn't CHEMO free for cancer patients? Just curious	en		 		
7198	9.63E+17	9.63E+17	Top Earnings Tu 2/13 Aft: $MET $MXL $NBIX $OHI $OXY $QUOT $SCI $SKT $TEGP $TEP $TEX $TRUP $TWLO $VOYA $WU $XPER (2/2)	en	Central Time (US & Canada)	"Chicago, IL"		
7215	9.63E+17	9.63E+17	"Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need"	en	Buenos Aires	✈		
7304	9.63E+17	9.63E+17	who want stories bout the crazy shit that happens at my job mainly including heroin addicts	en	Atlantic Time (Canada)	Cincinnati		
7340	9.63E+17	9.63E+17	Codeine bumpin-pnd	en		The Lou 		
7365	9.63E+17	9.63E+17	@WSJ We have an effective model for how to respond to the opioid scheme - big tobacco -isn't it way past time to put it in play?	en				
7430	9.63E+17	9.63E+17	@themouthmatusow Your country is doing a great job of supplying itself with opioids. Don't blame that shit on us.	en				
7440	9.63E+17	9.63E+17	"She's morphine, queen of my vaccine."	en	Asia/Manila			
7459	9.63E+17	9.63E+17	"@Dangela2004 I can have empathy for a pain sufferer getting addicted to Opiates

But a junkie getting high just to get high?

Fuck em."	en		"Columbus, OH"	opiates	apathy
7472	9.63E+17	9.63E+17	"@FoxNews @RajShah45 You’re cutting healthcare, how does that prioritize the opioid crisis?"	en		"Texas, USA"		
7475	9.63E+17	9.63E+17	Drug company money made patient groups 'cheerleaders for opioids'...	en	Cairo	Worldwide		
7496	9.63E+17	9.63E+17	"Percocet wit a 10 yea, grab my nigga go inn yaa ☺️"	en				
7525	9.63E+17	9.63E+17	@jonwild96 @Mike_Hampson10 @charliewest95 Hahahaha looks like a heroin addict😂😂 I can see why you went for her Jonny	en		Preston		
7526	9.63E+17	9.63E+17	@FoxNews @RajShah45 Isn't setting aside funds for the opioid crisis an entitlement?	en				
7527	9.63E+17	9.63E+17	@DearAuntCrabby @KellyannePolls snet him some of the best from her opioid counsel stash.	en		The Great Basin		
7608	9.63E+17	9.63E+17	So since the opioid issue is mainly affecting white people it's a Crisis now? 😂 #fattuesday #TheBreakfastClub	en	Central Time (US & Canada)	"Louisiana, USA"		
7640	9.63E+17	9.63E+17	narcotic analgesic	en	Melbourne	"Monash, Melbourne"		
7653	9.63E+17	9.63E+17	@Parkfield10s @reid6peter Yes and less people idolised for dealing heroin.	en	Casablanca	The Wild West		
7656	9.63E+17	9.63E+17	Just wanna leave me house without looking like I’ve been on a 10 day heroin bender	en				
7680	9.63E+17	9.63E+17	"Flying to the moon again
Dreaming about heroin"	en	Athens	Upside Down		
7720	9.63E+17	9.63E+17	Initial recommended management of #migraine is with simple analgesics such as ibuprofen and paracetamol for the #headache.	en	Bucharest	London		
7728	9.63E+17	9.63E+17	Opioid detoxification has been associated with provocation of #RLS-like symptoms during withdrawal.	en	Bucharest	Chicago		
7829	9.63E+17	9.63E+17	"This Altarum analysis, then, overstates the number of opioid overdose deaths by about 17,500 deaths — or nearly 40 percent. That's huge!"	en	Eastern Time (US & Canada)	"Washington, DC"		
7834	9.63E+17	9.63E+17	Fish fillets stuffed with deadly drug fentanyl seized from vehicle in the Bronx	en	Central America	"Louisville, Kentucky"		
7846	9.63E+17	9.63E+17	Send me a valentine’s day card with vicodin inside.	en		269		
7862	9.63E+17	9.63E+17	@baldandproud98 I got into hardcore cocaine and heroin because of this tweet. Thank You BaldAndProud98. Thanks for ruin'ing my life.	en	Eastern Time (US & Canada)	@my_selfrespect	cocaine	ruining life
7917	9.63E+17	9.63E+17	"@mims I think 2015 was even before the opioid tragedy really got going, no?"	en	Pacific Time (US & Canada)	Bali-based		
7932	9.63E+17	9.63E+17	You spend 14yrs as a major league pitcher. What the hell are you doing trafficking coke &amp; heroin???	en	Eastern Time (US & Canada)	Wide open in Rod Marinelli’s coverage		
7941	9.63E+17	9.63E+17	A doctor specifically prescribed me hydrocodone to help me sleep...but all it does is get me high and give me racing thoughts	en	Atlantic Time (Canada)			
7942	9.63E+17	9.63E+17	@sangeetabijlani Beautiful my favorite heroin miss you	en		bhiwani		
7943	9.63E+17	9.63E+17	$10M worth of fentanyl found stuffed in fish fillets	en	Tijuana	Milwaukee		
7952	9.63E+17	9.63E+17	$10M fentanyl found in fish fillets	en				
7956	9.63E+17	9.63E+17	@fabio_costa_USA @ritterman6450 @robreiner What is wrong with you? Meth or opioids?	en		"The Desert, CA"		
7970	9.63E+17	9.63E+17	"Corey said pussy on city ground, once I bit the iron you are to go and do not ever ask Leon for the recipe to heroin. Now!"	en		"Galaxidi, Greece"		
8069	9.63E+17	9.63E+17	House passes bills seeking to increase fight against opioids	en	Pacific Time (US & Canada)			
8210	9.63E+17	9.63E+17	"Americans are abusing over-the-counter drugs as well as opioids, study shows"	en	Arizona	"Berkeley, California"		
8222	9.63E+17	9.63E+17	"@joetaylor319 @infowars Yes, that's true, but aren't we talking about weed and not heroin?"	en				
8274	9.63E+17	9.63E+17	Good morning! I just made a super dark heroin joke. Happy Tuesday :)	en	Central Time (US & Canada)	"Podunk, MO"		
8293	9.63E+17	9.63E+17	"Drug firm, Purdue, will continue to manufacture opioids but will not market them.What kind of decision is that?"	en	Eastern Time (US & Canada)	Connecticut		
8315	9.63E+17	9.63E+17	@ericbolling @realDonaldTrump Hydrocodone took my 49 year old husband in 2013💔💔💔	en		"Austin, TX"		
8363	9.63E+17	9.63E+17	$10M worth of fentanyl found stuffed in fish fillets	en	Alaska	"Long Beach, California"		
8374	9.63E+17	9.63E+17	"Indexiq Advisors Lowered Occidental Pete Del (OXY) Position By $672,960; Palatin Technologies (PTN)'s Sentiment Is 0...."	en				
8378	9.63E+17	9.63E+17	"@germanrlopez 4 of 5 people in the US have died in this opioid crisis.
This is maybe too much like Y2k?"	en				
8449	9.63E+17	9.63E+17	@foxandfriends My daughter at age 21 overdosed on black tar heroin from Mexico. I support Trump's wall!	en		"Elko, NV"		
8643	9.63E+17	9.63E+17	109 non- opioid novel drugs are in pipeline - 37 for novel targets #BIOCEO2018	en	Hawaii			
8774	9.63E+17	9.63E+17	@Taggart7 Is the thought that pharma would no longer make opioids?	en	Arizona	A Shithole Nation		
8779	9.63E+17	9.63E+17	King and all mad as the narcotic tobacco haze of you?	en		"Fairfax, VA"		
8785	9.63E+17	9.63E+17	@zeyada1 He says 'Codeine' after that but if u want paradise we can work on that sure	en	Baghdad	"Doha, Qatar/ Khartoum, Sudan"		
8789	9.63E+17	9.63E+17	"just like nicotine, heroine, morphine, suddenly i'm a fiend and you're all i need"	en				
8796	9.63E+17	9.63E+17	Years later codeine crazy still a banger	en		"Baltimore, MD"		
8806	9.63E+17	9.63E+17	@EdKrassen And he's the gateway to opioid use	en	Mountain Time (US & Canada)	The Great state of Texas		
8818	9.63E+17	9.63E+17	"words as drugs
a love as heroin
sound to escape
pictures the same

All to make a better state of hormones.

Is it evolution, grow, target?"	en	Azores	Atlantic Ocean		
8824	9.63E+17	9.63E+17	@jimandsamshow @FactionTalk103 Cocaine and/or heroin?  Im sorry your honor but im going to have to plead not and/or guilty	en	Eastern Time (US & Canada)	Boston		
8833	9.63E+17	9.63E+17	Fuck around and dropped codeine in my champagne	en	Hawaii			
8863	9.63E+17	9.63E+17	"The ""opioid epidemic."" Is there really one or has the fruitless War On Drugs gone on for too long? #TuesdayThoughts"	en	Eastern Time (US & Canada)	Parts Unknown		
8871	9.63E+17	9.63E+17	"Many medications have #constipation as a side effect such as opioids (e.g. common pain killers), diuretics, antidepressants..."	en	Bucharest	Dallas	opioids	constipation
8883	9.63E+17	9.63E+17	"you say there’s a god, 
and you say you’ve got proof, 
well i’ve lost friends to heroin so what’s your god trying to prove"	en	Central Time (US & Canada)	arkansas		
8910	9.63E+17	9.63E+17	"""Let's get to the point, 
Let's roll another joint, 
Let's OD on fentanyl...""- Tom Petty"	en	Central Time (US & Canada)			
8916	9.63E+17	9.63E+17	@ericbolling @realDonaldTrump Blowback has affected doctors now unwilling to treat cancer pain with opioids. What will you do for them?	en				
8940	9.63E+17	9.63E+17	Codeine crazy	en		"San Antonio, TX"		
8947	9.63E+17	9.63E+17	@lore__n Oxy** but shhh	en	Atlantic Time (Canada)			
8950	9.63E+17	9.63E+17	@FoxNews @RajShah45 Hey moron if you want stop opioid use build a wall around pharmaceutical companies	en				
8964	9.63E+17	9.63E+17	@craigcalcaterra I keep them in business because their diet peach tea is basically liquid heroin.	en	Quito	"Riverview, FL"		
8994	9.63E+17	9.63E+17	@realDonaldTrump fund the opioid bill so we can help people not bury them	en		"St Louis, MO"		
9056	9.63E+17	9.63E+17	@realDonaldTrump @foxandfriends Why don't you try oxycontin and tell everyone all about it?	en				
9086	9.63E+17	9.63E+17	@notateenmomfan @tiffany__4prez Methadone is still an opioid and it only blocks if you take 80mlgs	en				
9111	9.63E+17	9.63E+17	@CrowishGambino heckin good pupper sniffs out illegal narcotics and swat team does a shooterino	en	Pacific Time (US & Canada)	philly baby where you at		
9129	9.63E+17	9.63E+17	"Helping opioid users and crack addicts... all right, but what happened to helping people that struggle, that are NOT on drugs?"	en	Eastern Time (US & Canada)	"New Jersey, USA"		
9136	9.63E+17	9.63E+17	"You know stuff ain't right when you are moved from codeine to hydrocodone, time to sing ""nishike mkono baba""."	en	Baghdad	Africa		
9163	9.63E+17	9.63E+17	@TheSpec @HamiltonPolice Waste of time and resources. Focus on the increase in petty crime and the opioid epidemic.	en	Eastern Time (US & Canada)	"Hamilton, Ontario, Canada "		
9171	9.63E+17	9.63E+17	Believe this hype (Big Pharma Gateway Crisis) #opioids handed out like candy. #DefundBigPharmagatewayCrisis	en	America/Chicago	Living in the Midwest		
9183	9.63E+17	9.63E+17	@RepMattGaetz Thank You Matt! Medical Marijuana has so many benefits. stop Opioid  Prescriptions.	en				
9223	9.63E+17	9.63E+17	"@OneTrickTofani did u move to paris, shoot some heroin and fuck with the stars"	en				
9248	9.63E+17	9.63E+17	@Rosybud123 @notateenmomfan No Dr would write her an rx of xanax while on methadone.	en				
9354	9.63E+17	9.63E+17	@FOX29philly @VoorheesPolice just FYI since I saw the news about the bad heroin in your area	en	Eastern Time (US & Canada)	United States		
9357	9.63E+17	9.63E+17	@Jess_D_Ripper Molly needs two buddies both named Percocet.	en	Quito	"Toronto, Ontario"		
9382	9.63E+17	9.63E+17	how tf do ppl die from heroin overdose aint that the guy from minecraft	en	Pacific Time (US & Canada)			
9408	9.63E+17	9.63E+17	u kno ur life’s on a downward spiral when ur scrannin codeine in a lecture n debating a bump	en	London	Manchester		
9422	9.63E+17	9.63E+17	@lilxanfuhyobih Anyone else a huge fan of Vicodin?	en				
9475	9.63E+17	9.63E+17	"Just like Nicotine, Heroin, Morphine. 🎧❤️"	en		La Union		
9541	9.63E+17	9.63E+17	"@SimonGreasley hi Simon, are you free to have a quick chat about heroin assisted treatment?"	en	London	"London, England"		
9551	9.63E+17	9.63E+17	@FOX29philly @springrunfarm1 Xanax and fentanyl? Ok so you want to die..😳	en				
9562	9.63E+17	9.63E+17	"Trifecta of opioids, alcohol and suicide are blamed for the drop in US life expectancy"	en	Mexico City	"Denver, Colorado"		
9567	9.63E+17	9.63E+17	Maryland sues Insys to enforce subpoena in opioid probe	en				
9608	9.63E+17	9.63E+17	@comeonandfarce oh that baseball had meth and heroin. He knows what a #speedball is	en	Pacific Time (US & Canada)	Earth		
9612	9.63E+17	9.63E+17	"@jamesrpeak @ihatepos45 @Goss30Goss @PWM62 He's a ""Dr."" A walking opioid epidemic all by himself it appears. (He's DEFINITELY on something.)"	en		"Maine, USA"		
9617	9.63E+17	9.63E+17	@PhRMA wasting too much money on fancy displays I see. When are you all going to pay for the opioid crisis you caused?	en	Central Time (US & Canada)			
9643	9.63E+17	9.63E+17	"Nun tells how bad back was cured by visit to Lourdes: Sister Bernadette Moriau, 79, was able to give up morphine and…"	en	Amsterdam			
9663	9.63E+17	9.63E+17	@NicoleInPain opioid-induced neurotoxicity syndrome seems to contradict Dr. Kline’s claim of no maximum.	en		"South Hill, WA"		
9700	9.63E+17	9.63E+17	@B_Wi11s This the dude who had 44lbs of heroin?	en		"Pasadena, MD"		
