	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36
2504	1123290	C0004063	Assault	C1268766	Blood pressure alteration (finding)	C0026961	Mydriasis	C0150312	Present	C0728710	Pupil constriction observed	C0344315	Depressed mood	C0460139	Pressure (finding)	C1271104	Blood pressure finding	C0578862	Intraocular pressure finding	C3843766	<50																																																				
2505	1120379	C0019337	Heroin Dependence	C0038587	Substance Withdrawal Syndrome	C0237607	Practice Experience	C0241919	heroin withdrawal	C0150312	Present	C0596545	Experience	C0087169	Withdrawal Symptoms																																																										
2506	1119400	C2986463	Androgen Receptor Positive	C2986463	Androgen Receptor Positive	C2986463	Androgen Receptor Positive	C2986463	Androgen Receptor Positive	C3843708	29+	C3844638	Either	C2986463	Androgen Receptor Positive	C2986463	Androgen Receptor Positive	C1720436	Under anesthesia	C2986463	Androgen Receptor Positive	C0344315	Depressed mood	C0870509	Escape (mental process)	C0426472	Blocked sinuses	C1531831	Cardiac pacing rate																																												
2507	1117511	C0449381	Observation parameter	C0281169	pulmonary complications	C0243095	Finding																																																																		
2508	1117142	C0150312	Present	C0442726	Detected (finding)	C0150312	Present																																																																		
2509	1094108	C0040822	Tremor	C1720436	Under anesthesia	C0150312	Present	C0004063	Assault	C0004063	Assault	C0004063	Assault	C0150312	Present	C0004063	Assault	C0442749	6/5	C0004063	Assault	C0004063	Assault	C0040822	Tremor	C0036973	Shivering	C0040822	Tremor																																												
2510	1092724	C2825142	Experimental Result	C0517980	Urinary Excretion pattern	C0086045	Mental concentration	C0517980	Urinary Excretion pattern	C0086045	Mental concentration																																																														
2511	1091161	C0086132	Depressive Symptoms	C0436331	Symptom aggravating factors	C0085281	Addictive Behavior	C0344315	Depressed mood	C0011570	Mental Depression																																																														
2512	1039254	C0020649	Hypotension	C0036974	Shock	C0429855	Arterial measure	C0460139	Pressure (finding)	C0010957	Tissue damage	C0036974	Shock	C0520541	Hypotensive episode	C0036982	Shock, Hemorrhagic	C0232180	Cardiac shunt	C0036980	Shock, Cardiogenic	C0020649	Hypotension	C0442797	Decreasing	C0036981	Endotoxic shock	C0036974	Shock	C1273517	Used by	C0020649	Hypotension	C1273517	Used by	C2712122	Normal blood pressure	C0036982	Shock, Hemorrhagic	C1271104	Blood pressure finding																																
2513	239115	C1320408	Urinary elimination status	C0332128	Examined	C0854059	acid urine																																																																		
2514	238059	C1273517	Used by	C0595883	Blood glucose decreased																																																																				
2515	237112	C4264481	4 times	C0728710	Pupil constriction observed	C1140999	Contraction (finding)																																																																		
2516	164341	C0150312	Present	C0150312	Present	C1444656	Indicated	C0935572	Stalking (behavior)	C1554187	Gender Status - Intact	C0150312	Present	C0150312	Present	C0086045	Mental concentration	C0150312	Present	C0150312	Present	C0015929	Fetal Diseases	C0015929	Fetal Diseases																																																
2517	124349	C3842675	Day 3	C0220929	Mental tolerance	C0439857	Dependence	C0278080	Physical addiction	C0220929	Mental tolerance	C0439857	Dependence	C0220929	Mental tolerance	C0439857	Dependence																																																								
2518	123501	C1706968	Blockage (obstruction - finding)	C0221198	Lesion	C0221198	Lesion	C2825142	Experimental Result	C0728867	Drug effect disorder																																																														
2519	50766	C0236734	Caffeine related disorders	C0236734	Caffeine related disorders	C2825142	Experimental Result	C0850310	Possessed	C0232910	Teratogenesis	C0344315	Depressed mood	C0344315	Depressed mood	C4321237	High Level																																																								
2520	1173082	C0039082	Syndrome	C0018378	Guillain-Barre Syndrome	C0009566	Complication	C0524661	Narcotic Abuse	C0522224	Paralysed	C0035232	Respiratory Paralysis	C0521671	Unilateral facial paresis	C0151857	Pleocytosis	C0150312	Present																																																						
2521	1122445	C0413696	Aspirin adverse reaction	C0038435	Stress																																																																				
2522	804624	C0744648	headache persistent	C0679261	analgesic abuse	C0679201	Inference	C0151293	Chronic Headache	C0439857	Dependence																																																														
2523	1138012	C4033634	Blood Indices	C4033634	Blood Indices																																																																				
2524	1241437	C0235063	Respiratory Depression	C0085639	Falls	C3843766	<50	C0001127	Acidosis, Respiratory	C0085639	Falls	C2825142	Experimental Result																																																												
2525	1227889	C0018790	Cardiac Arrest																																																																						
2526	1227875	C0233174	Synclitism																																																																						
2527	1177236	C0241311	post operative (finding)	C0870365	Courage	C0241311	post operative (finding)	C2985294	Fourth Stage of Labor	C0232487	Abdominal discomfort	C0442726	Detected (finding)	C1287347	Finding of serum electrolyte levels	C1287347	Finding of serum electrolyte levels	C1397014	Imbalance	C0342579	Electrolyte imbalance	C0020621	Hypokalemia	C0220981	Metabolic acidosis	C0040053	Thrombosis																																														
2528	1174033	C0150312	Present	C0877008	Enzyme inhibition disorder	C0086168	Dissociation	C1854293	Iterations																																																																
2529	1169191	C2825032	Withdrawal (dysfunction)	C0439857	Dependence	C1262477	Weight decreased	C1262477	Weight decreased	C4304523	Withdrawal sign	C1510472	Drug Dependence	C2825032	Withdrawal (dysfunction)	C1838994	Rapid onset	C0439857	Dependence	C0442797	Decreasing	C2825032	Withdrawal (dysfunction)	C4304523	Withdrawal sign	C1510472	Drug Dependence	C0439857	Dependence																																												
2530	1169190	C0232051	Cough reflex	C1961131	Cough Adverse Event	C1961131	Cough Adverse Event	C0035204	Respiration Disorders	C0232051	Cough reflex	C1961131	Cough Adverse Event	C1961131	Cough Adverse Event	C1720436	Under anesthesia	C0232051	Cough reflex	C0001721	Affect (mental function)	C0232051	Cough reflex	C0344315	Depressed mood	C0232051	Cough reflex	C0232051	Cough reflex	C0232051	Cough reflex	C0232051	Cough reflex																																								
2531	1169082	C0427514	Right shifted white blood cells	C0948482	analgesic effect	C0220929	Mental tolerance	C0013220	Drug Tolerance	C1332555	Biphasic Pattern	C1273517	Used by	C0220929	Mental tolerance	C0808270	Time 2	C3842337	0 days	C0557351	Employed	C3838679	4+ Answer to question	C0038587	Substance Withdrawal Syndrome	C0220929	Mental tolerance	C0001721	Affect (mental function)	C0220929	Mental tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance																																				
2532	1168429	C0870289	patient attitudes																																																																						
2533	1168428	C0027126	Myotonic Dystrophy	C0262512	History of present illness	C0004268	Attention																																																																		
2534	1168255	C1384674	Cesarean section (finding)	C2825142	Experimental Result	C0015934	Fetal Growth Retardation	C1384485	Normal delivery	C1384485	Normal delivery	C0240795	positional																																																												
2535	1168254	C1518681	Outcome of Therapy	C0332128	Examined	C3842675	Day 3	C0086439	Hypokinesia	C0333641	Atrophic	C0392209	Nutritional status	C3842672	Day 7	C0680091	sexual difficulty	C0332128	Examined																																																						
2536	1168253	C0220929	Mental tolerance	C0278080	Physical addiction	C0026552	Morphine Dependence	C2825142	Experimental Result	C2911645	Weight Loss Adverse Event	C1262477	Weight decreased	C2825032	Withdrawal (dysfunction)	C0162703	Pain Threshold	C0013781	Shock from electric current	C0948482	analgesic effect	C3838679	4+ Answer to question	C2825142	Experimental Result	C0220929	Mental tolerance	C0220929	Mental tolerance																																												
2537	1168252	C0948482	analgesic effect	C0948482	analgesic effect	C0521654	Neurologic Deficits																																																																		
2538	1151627	C0020517	Hypersensitivity	C0858353	addicted to heroin	C1273517	Used by	C0020792	Identification (Psychology)																																																																
2539	1144478	C3838679	4+ Answer to question	C3838679	4+ Answer to question	C0009647	Conditioning (Psychology)	C0233496	Aversion (finding)	C4281574	Much	C0233496	Aversion (finding)	C0558058	Reflecting	C0009647	Conditioning (Psychology)	C0233496	Aversion (finding)	C0233496	Aversion (finding)																																																				
2540	1140877	C0686750	Well adult	C0686750	Well adult	C0557351	Employed	C0562342	Empowered	C3843708	29+	C3838679	4+ Answer to question																																																												
2541	1136977	C0701159	Patient in hospital	C0683278	Mental Suffering	C0150055	Chronic pain	C0439857	Dependence	C0683317	activity level	C1961028	Oriented to place	C1273517	Used by	C1962977	Pain NOS Adverse Event	C1273517	Used by	C0150055	Chronic pain	C1273517	Used by																																																		
2542	1135507	C4297006	Increase dose	C4288557	One Activity Hour	C2825142	Experimental Result	C0220929	Mental tolerance																																																																
2543	1133816																																																																								
2544	1133815																																																																								
2545	1133783	C0020456	Hyperglycemia	C3838679	4+ Answer to question	C0020456	Hyperglycemia	C0020456	Hyperglycemia																																																																
2546	1129282	C0243095	Finding	C1273517	Used by	C1444656	Indicated	C0233820	Insight	C0459423	Equivocal result																																																														
2547	1126372	C0086045	Mental concentration	C0150312	Present																																																																				
2548	1120955	C0036572	Seizures	C4297006	Increase dose	C0036572	Seizures	C4297006	Increase dose	C4297006	Increase dose	C4297006	Increase dose	C0036572	Seizures	C0234535	Seizures, Clonic	C0494475	Tonic - clonic seizures	C0036572	Seizures																																																				
2549	1120954	C3844638	Either	C0150312	Present	C0150312	Present																																																																		
2550	1120953	C2825142	Experimental Result	C2825142	Experimental Result	C0086045	Mental concentration	C0086045	Mental concentration	C0086045	Mental concentration	C0150312	Present	C0087136	Unmarried	C3844638	Either	C0424605	Developmental delay (disorder)	C1273937	Not significant																																																				
2551	1120392	C1320408	Urinary elimination status																																																																						
2552	1120004	C0557351	Employed	C0332128	Examined	C0426546	Vocal cord finding	C0557351	Employed	C0577895	Lesion of larynx	C2825142	Experimental Result	C0680844	estimation <subjective>																																																										
2553	1115386	C0004063	Assault	C0004063	Assault	C0004063	Assault	C1963123	Valvular Heart Disease Adverse Event	C3845594	Slight change	C0428886	Mean blood pressure	C0428776	Cardiac index	C1321771	Central venous pressure finding	C0234422	Awake	C0235055	skeletal muscle paralysis	C0558058	Reflecting	C0026837	Muscle Rigidity	C3203358	Hypoventilation	C0235055	skeletal muscle paralysis	C0520854	Decreased mean arterial pressure	C0428776	Cardiac index	C0150312	Present																																						
2554	1115383	C1554187	Gender Status - Intact	C0018799	Heart Diseases	C0001721	Affect (mental function)	C0456190	Left ventricular end-diastolic pressure level	C0020649	Hypotension																																																														
2555	1115163	C0038587	Substance Withdrawal Syndrome	C0013146	Drug abuse	C4304523	Withdrawal sign																																																																		
2556	1114940	C0019112	Hemorrhoids	C0016167	Anal Fissure	C0019112	Hemorrhoids	C0000833	Abscess	C0239942	Prolapsed hemorrhoids	C0012634	Disease																																																												
2557	1112055	C0332149	Possible	C0205160	Negative	C0020517	Hypersensitivity	C0332218	Difficult (qualifier value)	C1514241	Positive Finding	C0205160	Negative	C0205160	Negative	C1514241	Positive Finding	C0234421	Conscious	C2825142	Experimental Result	C0205160	Negative	C0205160	Negative	C1514241	Positive Finding	C3840892	Day 4																																												
2558	1093433	C0032343	Poisoning	C0032343	Poisoning	C1306577	Death (finding)	C0034063	Pulmonary Edema	C0003130	Anoxia																																																														
2559	1089507	C0858353	addicted to heroin	C0024115	Lung diseases	C1457887	Symptoms	C0001883	Airway Obstruction	C1280474	Transfer factor - respiratory measure	C0265309	Leri-Weill dyschondrosteosis	C0265309	Leri-Weill dyschondrosteosis	C0232018	Decreased lung compliance	C0029944	Drug Overdose	C0332679	Crushing injury	C0265309	Leri-Weill dyschondrosteosis	C0518609	consideration	C0032285	Pneumonia	C0018193	Granuloma, Foreign-Body	C0034063	Pulmonary Edema	C0600688	Toxic effect	C0240320	medication use																																						
2560	1078674	C0013604	Edema	C0012359	Pathological Dilatation	C0011570	Mental Depression	C0008039	Cheyne-Stokes Respiration	C0020649	Hypotension																																																														
2561	805450	C0013146	Drug abuse	C2745965	Emergencies [Disease/Finding]	C0011109	Decision Making	C0032074	Cognitive function: planning	C0555047	Married (finding)	C0150312	Present	C0496675	medical care																																																										
2562	804188	C0449381	Observation parameter	C0332155	Did not receive therapy or drug for	C0442730	Weakly positive	C0442726	Detected (finding)	C3841843	Person 1	C1545438	Person present	C0449381	Observation parameter	C1514241	Positive Finding																																																								
2563	241154	C0428646	Oxygen concentration	C0429627	Oxygen uptake	C0429627	Oxygen uptake	C3838679	4+ Answer to question																																																																
2564	238000	C3843766	<50	C0086045	Mental concentration	C0012634	Disease	C4055506	Accumulation																																																																
2565	237999	C3843766	<50	C0450407	ph+	C0450407	ph+																																																																		
2566	237528	C0410959	Fetal acidosis	C0001127	Acidosis, Respiratory																																																																				
2567	237517	C3842330	Manually	C1273517	Used by																																																																				
2568	237125	C0085281	Addictive Behavior	C1510472	Drug Dependence																																																																				
2569	236796	C1838994	Rapid onset	C0344315	Depressed mood	C1140999	Contraction (finding)	C0011570	Mental Depression	C3838679	4+ Answer to question	C0086045	Mental concentration	C0011570	Mental Depression	C1140999	Contraction (finding)	C1273517	Used by	C3641827	Agree	C0541749	Does turn (finding)	C0026552	Morphine Dependence	C0439857	Dependence																																														
2570	235639	C2825142	Experimental Result	C2825142	Experimental Result	C0086168	Dissociation	C2825142	Experimental Result	C1510411	metaplastic cell transformation	C2825142	Experimental Result	C0086045	Mental concentration																																																										
2571	234696	C0424945	Social and personal history	C0004271	Attitude	C0242510	Drug usage	C0031208	Personality	C0021704	Intelligence	C0021704	Intelligence	C0013658	Educational Status	C1273517	Used by	C1299586	Has difficulty doing (qualifier value)	C0150312	Present	C0858353	addicted to heroin	C0019337	Heroin Dependence	C0031208	Personality																																														
2572	234364	C0085632	Apathy	C0011570	Mental Depression																																																																				
2573	166649	C1273517	Used by	C0412771	Spontaneous respiration	C0428648	Inspired oxygen concentration	C0086045	Mental concentration																																																																
2574	239010	C0450407	ph+																																																																						
2575	1090338	C0022661	Kidney Failure, Chronic	C2316810	Chronic kidney disease stage 5	C0012634	Disease	C0017658	Glomerulonephritis	C0149938	Analgesic nephropathy	C3843708	29+	C0085580	Essential Hypertension	C0022680	Polycystic Kidney Diseases	C1561643	Chronic Kidney Diseases	C0034186	Pyelonephritis	C0034186	Pyelonephritis	C0022661	Kidney Failure, Chronic	C2316810	Chronic kidney disease stage 5																																														
2576	1150768	C3841449	Much better	C1955473	Others - Allergy																																																																				
2577	1078637	C3843504	1 - 3	C0442811	Very low	C2239178	Newborn (finding)	C3843766	<50	C4281574	Much	C3843645	1-10	C1706968	Blockage (obstruction - finding)	C2825142	Experimental Result																																																								
2578	1234491	C3843766	<50	C3843766	<50	C0042963	Vomiting	C0027497	Nausea	C3843766	<50	C4281574	Much	C0085631	Agitation	C0237607	Practice Experience	C3843766	<50																																																						
2579	1234488	C0860987	phosphate low	C0860987	phosphate low																																																																				
2580	1173038	C0010957	Tissue damage	C3843766	<50	C0150312	Present	C2825141	Experimental Finding	C2825141	Experimental Finding	C0010957	Tissue damage																																																												
2581	1171118	C0035397	Rewards	C0087169	Withdrawal Symptoms	C0015347	Extinction, Psychological	C0029104	Opioid withdrawal	C0030563	Parity	C0035007	Psychological reinforcement																																																												
2582	1148102	C0700292	Hypoxemia	C0344307	Absence of pain sensation	C0948733	abdominal spasm	C0700292	Hypoxemia																																																																
2583	1148099	C0038435	Stress	C1962977	Pain NOS Adverse Event	C1291732	Treatment pain	C0344315	Depressed mood	C0234425	Level of consciousness																																																														
2584	1147721	C3844638	Either	C0020672	Hypothermia, natural	C0020672	Hypothermia, natural	C3665474	temperature reported under 100 degrees Fahrenheit	C0020672	Hypothermia, natural	C0020672	Hypothermia, natural	C0015967	Fever	C0015967	Fever	C0020672	Hypothermia, natural	C0221198	Lesion	C3844638	Either	C0015967	Fever	C0020672	Hypothermia, natural	C0220929	Mental tolerance	C1301797	Induced hypothermia (finding)	C0013220	Drug Tolerance																																								
2585	1147717	C0344307	Absence of pain sensation	C1962977	Pain NOS Adverse Event	C1953353	Amino acid change	C0241526	Unresponsiveness	C1962977	Pain NOS Adverse Event																																																														
2586	1139453	C0436184	Skeletal muscle action potential	C0004268	Attention	C0344315	Depressed mood	C0235169	Excitability																																																																
2587	1127596	C1320408	Urinary elimination status	C3843708	29+																																																																				
2588	1125141	C0150312	Present																																																																						
2589	1124710	C0004268	Attention	C0034063	Pulmonary Edema	C0032290	Aspiration Pneumonia	C0009566	Complication	C3714514	Infection	C0014118	Endocarditis	C0264886	Conduction disorder of the heart	C1560249	Adverse Event Associated with Cardiac Arrhythmia	C0572070	Heroin overdose	C0019159	Hepatitis A	C0231221	Asymptomatic	C0004268	Attention																																																
2590	1123460	C0701159	Patient in hospital	C0442759	3/6	C0559546	Adverse reactions	C0018524	Hallucinations	C0013987	Emotions	C0009676	Confusion	C0085631	Agitation	C0559546	Adverse reactions																																																								
2591	1118089	C1384674	Cesarean section (finding)	C0442749	6/5	C1273517	Used by	C0021294	Infant, Premature	C0410916	Neonatal Death	C0032962	Pregnancy Complications	C0151526	Premature Birth	C0456056	Fetus at risk	C0596545	Experience																																																						
2592	1117427	C3843766	<50	C0026961	Mydriasis	C0026205	Miosis disorder	C0150312	Present	C1518681	Outcome of Therapy	C3844638	Either	C0026205	Miosis disorder	C0026205	Miosis disorder	C0026205	Miosis disorder	C0344315	Depressed mood	C0150312	Present	C0026205	Miosis disorder																																																
2593	1117416	C3844638	Either	C0423896	Feeling content	C0004268	Attention																																																																		
2594	1115571	C0457801	Current non-drinker of alcohol	C1306597	Psychiatric problem	C0392334	Ability to perform cognitive activity	C0278060	Mental state	C0344315	Depressed mood	C0457801	Current non-drinker of alcohol	C0457801	Current non-drinker of alcohol	C1444656	Indicated	C0524324	Poor education	C0242393	Immediate Recall																																																				
2595	1115569	C0150312	Present	C0013146	Drug abuse	C0043012	Wakefulness	C0085281	Addictive Behavior	C0029944	Drug Overdose	C0013146	Drug abuse	C0205160	Negative	C0085281	Addictive Behavior	C0085281	Addictive Behavior	C0029944	Drug Overdose																																																				
2596	1115568	C0004271	Attitude	C0457801	Current non-drinker of alcohol	C1273518	Responsible to	C1882997	Self-conscious	C0564482	Self-effacing	C0457801	Current non-drinker of alcohol																																																												
2597	1115363	C1956346	Coronary Artery Disease	C1272641	Systemic arterial pressure	C0428776	Cardiac index	C3854605	Mean Pulmonary Arterial Pressure	C0456261	Pulmonary Vascular Resistance	C0450407	ph+	C1956346	Coronary Artery Disease	C0024115	Lung diseases																																																								
2598	1092199	C0474710	Depth of anesthesia	C3842480	More than 50	C0474710	Depth of anesthesia	C0474710	Depth of anesthesia	C0474710	Depth of anesthesia																																																														
2599	1054841	C0027819	Neuroblastoma	C0017638	Glioma	C3641827	Agree	C0237677	insensitivity	C0150312	Present	C1527402	Narcotic Dependence	C0220929	Mental tolerance																																																										
2600	237084	C1273517	Used by	C0220929	Mental tolerance	C0600688	Toxic effect	C0442749	6/5	C0600688	Toxic effect																																																														
2601	237083	C2828386	Pass (indicator)	C0560453	Does jump	C1720436	Under anesthesia	C0001721	Affect (mental function)	C0520967	Convulsion threshold																																																														
2602	236324	C0234421	Conscious	C0520891	Decreased vascular resistance	C4068820	Late diastolic	C0085639	Falls	C4068820	Late diastolic	C0010073	Coronary Artery Vasospasm	C0010073	Coronary Artery Vasospasm	C1514241	Positive Finding	C1514241	Positive Finding	C0010073	Coronary Artery Vasospasm	C0543419	Sequela of disorder	C0010073	Coronary Artery Vasospasm	C1720436	Under anesthesia	C0010073	Coronary Artery Vasospasm	C0010073	Coronary Artery Vasospasm	C0234421	Conscious	C0852949	Arteriopathic disease	C0234421	Conscious																																				
2603	235009	C0042693	Violence	C0233401	Psychiatric symptom	C1457887	Symptoms	C0278060	Mental state	C0033975	Psychotic Disorders	C0033213	Problem	C0262405	Cerebral dysfunction	C1273517	Used by	C0011570	Mental Depression	C4068804	Coherent	C0021125	Impulsive Behavior	C0042693	Violence	C0014544	Epilepsy	C1514241	Positive Finding	C0150312	Present	C3825614	Syndromes in children	C1457887	Symptoms	C1830593	Therapy need																																				
2604	163173	C0035220	Respiratory Distress Syndrome, Newborn	C0270163	Primary atelectasis, in perinatal period																																																																				
2605	46922	C0476442	High antibody titer	C0239984	Increased IgA level																																																																				
2606	1172732	C0016059	Fibrosis	C0026848	Myopathy	C0150312	Present	C0332534	Induration	C0231442	Limitation of motion	C3714552	Weakness	C2825142	Experimental Result	C1821461	Close Relationship	C0026848	Myopathy	C0009566	Complication																																																				
2607	1115128	C0589120	Follow-up status	C0150312	Present	C0087169	Withdrawal Symptoms	C2239178	Newborn (finding)																																																																
2608	1117043																																																																								
2609	1172351	C0600457	Gravidity	C0747845	early pregnancy	C4086258	Early Delivery of Experimental Organism	C0600457	Gravidity	C0442749	6/5	C0015927	Fetal Death	C0150312	Present	C0151686	Growth retardation	C0566879	Fetus normal	C0150312	Present	C0600457	Gravidity	C0035220	Respiratory Distress Syndrome, Newborn	C0858353	addicted to heroin	C2222300	female babies																																												
2610	1163362	C0013170	Drug habituation	C4086928	Use Heroin	C0700285	Drug addict	C2985271	Appropriate for Gestational Age	C0311392	Physical findings	C0087169	Withdrawal Symptoms	C2700617	Irritation - emotion	C0040822	Tremor	C0037383	Sneezing	C0239154	High pitched cry	C0026826	Muscle Hypertonia	C0426412	Form of nose	C0038990	Sweating	C0011991	Diarrhea	C0042963	Vomiting	C0043387	Yawning	C0036572	Seizures	C3838679	4+ Answer to question	C2063269	neonatal Narcotic withdrawal	C0030563	Parity	C0019337	Heroin Dependence	C3844638	Either	C2825032	Withdrawal (dysfunction)	C2825032	Withdrawal (dysfunction)	C2825032	Withdrawal (dysfunction)	C1262477	Weight decreased	C2911645	Weight Loss Adverse Event	C1290955	drug dependent	C2063269	neonatal Narcotic withdrawal														
2611	1163358	C0027609	Neonatal Abstinence Syndrome	C0027609	Neonatal Abstinence Syndrome	C0150312	Present	C0242656	Disease Progression																																																																
2612	1154054	C0032708	Disorders of Porphyrin Metabolism	C0039869	Thinking, function	C1304680	Observation of attack	C1304680	Observation of attack	C1304680	Observation of attack	C1304680	Observation of attack																																																												
2613	1122667	C0577559	Mass of body structure	C4289594	Eleven or More Activity Hours																																																																				
2614	1241455	C0026516	Mood (psychological function)	C0564408	Manic mood	C0011581	Depressive disorder																																																																		
2615	1241452	C0439857	Dependence	C4288557	One Activity Hour	C0040822	Tremor	C0920703	gastrointestinal sign	C2825142	Experimental Result																																																														
2616	1241451	C0001721	Affect (mental function)																																																																						
2617	1241450	C3843645	1-10																																																																						
2618	1241367	C0332128	Examined	C0236804	Amphetamine Addiction	C0278080	Physical addiction	C1273517	Used by	C0220929	Mental tolerance	C0600688	Toxic effect	C0600688	Toxic effect	C0026552	Morphine Dependence	C2825142	Experimental Result	C0026552	Morphine Dependence																																																				
2619	1239976	C0475746	Light anesthesia	C0237607	Practice Experience	C1273517	Used by	C1273517	Used by	C3843708	29+	C1273517	Used by	C3843765	65+	C3843766	<50	C1273517	Used by	C3843708	29+	C1273517	Used by	C2825142	Experimental Result	C0038435	Stress																																														
2620	1237471	C0150312	Present	C0436343	Symptom mild	C1457883	Aggressive reaction	C0013220	Drug Tolerance	C0085281	Addictive Behavior																																																														
2621	1237093	C4055506	Accumulation	C0086045	Mental concentration	C0948482	analgesic effect	C0011570	Mental Depression	C2825032	Withdrawal (dysfunction)																																																														
2622	1234983	C0150312	Present	C0423896	Feeling content	C4281574	Much	C0442797	Decreasing	C0425945	Prolonged menses																																																														
2623	1234982	C1273517	Used by	C3844638	Either	C0150312	Present																																																																		
2624	1234981	C0423896	Feeling content	C0423896	Feeling content	C0086168	Dissociation	C0086168	Dissociation	C0086168	Dissociation	C1444657	Contraindicated	C0600688	Toxic effect																																																										
2625	1232562	C0489749	Rectal temperature	C0489749	Rectal temperature	C0015967	Fever	C0489749	Rectal temperature	C0015967	Fever	C0015967	Fever	C0489749	Rectal temperature																																																										
2626	1230472	C0699809	Does carry	C0699809	Does carry	C0009940	Convalescence	C1444657	Contraindicated	C1565489	Renal Insufficiency	C0085580	Essential Hypertension	C0031154	Peritonitis	C0042267	Vaginitis	C1290862	Disorder of hip region	C1273517	Used by	C2004491	Cicatrix	C0009566	Complication	C0701159	Patient in hospital																																														
2627	1227816	C0857121	Hypertensive (finding)	C0233481	Worried	C0233494	Tension	C0004448	Awareness																																																																
2628	1226231	C0237607	Practice Experience	C1962977	Pain NOS Adverse Event	C0237607	Practice Experience	C0449381	Observation parameter	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C0449381	Observation parameter	C0237607	Practice Experience	C1457887	Symptoms	C0449381	Observation parameter	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C0015663	Fasting	C0456343	Evoked potential finding	C1962977	Pain NOS Adverse Event	C0344307	Absence of pain sensation																																								
2629	1224007																																																																								
2630	1221737	C1271104	Blood pressure finding	C0039231	Tachycardia	C0020538	Hypertensive disease	C0428977	Bradycardia	C0020649	Hypotension	C0019080	Hemorrhage	C0012359	Pathological Dilatation	C1271104	Blood pressure finding	C1271104	Blood pressure finding																																																						
2631	1221433	C0344307	Absence of pain sensation	C1320408	Urinary elimination status	C3843708	29+	C3843708	29+	C2825142	Experimental Result																																																														
2632	1220896	C1306577	Death (finding)	C0442749	6/5	C0004063	Assault	C0150312	Present	C0086045	Mental concentration	C0004063	Assault	C0242151	violent	C0004063	Assault																																																								
2633	1220633	C0001621	Adrenal Gland Diseases																																																																						
2634	1211382	C0150312	Present	C0023895	Liver diseases	C0344315	Depressed mood	C0011570	Mental Depression	C2825141	Experimental Finding	C0011570	Mental Depression	C0011570	Mental Depression	C0240602	opioid use																																																								
2635	1211380	C0237607	Practice Experience	C0023185	Learning	C0237607	Practice Experience	C0162340	Comprehension	C0162340	Comprehension	C0001721	Affect (mental function)	C0237607	Practice Experience																																																										
2636	1211377	C0683954	research results	C2911690	Disease Controlled	C0013146	Drug abuse	C2911690	Disease Controlled	C0281875	Illicit medication use	C2911690	Disease Controlled	C0242510	Drug usage	C0233622	Ritual compulsion	C0013146	Drug abuse	C2911690	Disease Controlled	C1832073	Handling																																																		
2637	1211376	C0013146	Drug abuse	C0033213	Problem	C0425043	Death of relative	C1514241	Positive Finding	C4086928	Use Heroin																																																														
2638	1209180	C0460139	Pressure (finding)	C1273517	Used by	C0001721	Affect (mental function)	C0425946	Short menstrual periods	C1273517	Used by	C0001721	Affect (mental function)																																																												
2639	1208987	C0022116	Ischemia	C0151744	Myocardial Ischemia	C0022116	Ischemia	C0333169	Partial obstruction	C1273517	Used by	C0022116	Ischemia	C1273517	Used by	C0242231	Coronary Stenosis	C3840799	Very likely	C3843660	Too much	C3845594	Slight change	C0003507	Aortic Valve Stenosis	C0086045	Mental concentration																																														
2640	1208894	C0043084	Weaning	C0560017	EEG normal	C0151611	Electroencephalogram abnormal	C0205161	Abnormal	C0560017	EEG normal	C0151611	Electroencephalogram abnormal	C0151611	Electroencephalogram abnormal	C1955473	Others - Allergy	C0151611	Electroencephalogram abnormal	C0013146	Drug abuse																																																				
2641	1208870	C0034063	Pulmonary Edema	C0013220	Drug Tolerance	C0600688	Toxic effect	C0034063	Pulmonary Edema																																																																
2642	1201881	C0041755	Adverse reaction to drug	C0029944	Drug Overdose	C1273518	Responsible to	C0029944	Drug Overdose	C0029944	Drug Overdose																																																														
2643	1201877	C0589120	Follow-up status	C0392751	In prison (finding)	C0562359	Institutionalized	C0011546	emotional dependency																																																																
2644	1199619																																																																								
2645	1190197	C0007465	Cause of Death	C1555024	Patient Deceased	C0442797	Decreasing	C0150312	Present																																																																
2646	1189881	C0030201	Pain, Postoperative	C0150312	Present	C1273517	Used by	C1273517	Used by	C0235063	Respiratory Depression	C0879626	Adverse effects																																																												
