	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36	CUI37	PTerm37	CUI38	PTerm38	CUI39	PTerm39	CUI40	PTerm40	CUI41	PTerm41	CUI42	PTerm42	CUI43	PTerm43	CUI44	PTerm44	CUI45	PTerm45	CUI46	PTerm46
7193	7468959	C0412771	Spontaneous respiration	C0003811	Cardiac Arrhythmia	C1331418	Comfort																																																																																						
7194	7460816	C4035634	1-2 times	C3843197	One or Two Days	C3838679	4+ Answer to question	C3843708	29+	C2825142	Experimental Result	C0600138	Does play																																																																																
7195	7452507	C3843766	<50	C0858353	addicted to heroin	C3843766	<50	C1273517	Used by	C1273517	Used by	C1273517	Used by	C0241918	HEROIN INTOXICATION	C0871633	desire	C0600241	heroin abuse																																																																										
7196	7449089	C0013146	Drug abuse	C0854059	acid urine	C1273517	Used by	C0150312	Present																																																																																				
7197	7438385	C1271104	Blood pressure finding	C1273517	Used by	C1271104	Blood pressure finding	C2937255	hours of sleep	C1271104	Blood pressure finding	C0085639	Falls	C0085639	Falls																																																																														
7198	7348107	C3843647	> 2 years	C3838679	4+ Answer to question	C1306597	Psychiatric problem	C0542351	Battery (assault)	C0240602	opioid use	C0589120	Follow-up status	C3843766	<50	C1306597	Psychiatric problem	C0589120	Follow-up status	C1306597	Psychiatric problem	C0445223	Related personal status	C0445223	Related personal status																																																																				
7199	7348105	C1273517	Used by	C0558058	Reflecting	C0262926	Medical History	C0242510	Drug usage	C3806166	Poor outcome	C0037088	Signs and Symptoms																																																																																
7200	7346741	C0274281	Injury due to exposure to external cause	C0856669	neonatal effect nos	C0021118	Imprinting (Psychology)	C0015799	Feminization	C0087136	Unmarried	C3842676	Day 2	C1295652	Decreased androgen level	C0021118	Imprinting (Psychology)																																																																												
7201	7345832	C0449381	Observation parameter	C0344307	Absence of pain sensation	C0332167	High risk of																																																																																						
7202	7344878	C2825032	Withdrawal (dysfunction)	C3842676	Day 2	C3840892	Day 4	C2825142	Experimental Result	C3842676	Day 2	C3842675	Day 3	C1319166	Symptom severity level	C2825032	Withdrawal (dysfunction)																																																																												
7203	7340503	C1444662	Discontinued	C0242510	Drug usage	C0035280	Retention (Psychology)	C0524662	Opiate Addiction																																																																																				
7204	7332099	C0020649	Hypotension	C0019080	Hemorrhage	C0020649	Hypotension	C0231835	Tachypnea	C0412771	Spontaneous respiration	C1720436	Under anesthesia	C1272641	Systemic arterial pressure	C1301655	Minute ventilation	C0429680	Dynamic compliance	C0449381	Observation parameter	C0002064	Alkalosis, Respiratory	C0412771	Spontaneous respiration	C1273517	Used by	C0019080	Hemorrhage																																																																
7205	7331976	C3843766	<50	C0231218	Malaise	C0029104	Opioid withdrawal	C0699809	Does carry	C2063269	neonatal Narcotic withdrawal	C4281574	Much	C2063269	neonatal Narcotic withdrawal	C3533236	Mean score	C2063269	neonatal Narcotic withdrawal																																																																										
7206	7331973	C0589120	Follow-up status	C0589120	Follow-up status	C2825142	Experimental Result	C2825142	Experimental Result	C1550517	Target Awareness - marginal	C0596130	attribution																																																																																
7207	7327867	C0596545	Experience	C0858353	addicted to heroin	C0031212	Personality Disorders	C0029266	Mental Orientation	C0425382	Personal status - Adopted																																																																																		
7208	7319134	C0596545	Experience	C0030201	Pain, Postoperative																																																																																								
7209	7318686	C0001916	Albinism	C3843787	10 - 12	C0600688	Toxic effect	C1262477	Weight decreased	C4304523	Withdrawal sign	C0684320	Disease regression	C0424099	Reduced concentration	C0086439	Hypokinesia																																																																												
7210	7315382	C0235169	Excitability	C1999057	assimilation	C0240188	LIGHT STIMULATION	C0009647	Conditioning (Psychology)																																																																																				
7211	7308711	C0362060	Legal problems	C0028778	Obstruction	C0016542	Foreign Bodies	C0728899	Intoxication	C0560175	Carrier of disorder																																																																																		
7212	7308349	C0001721	Affect (mental function)	C0011570	Mental Depression																																																																																								
7213	7305045	C0741884	terminal cancer	C0683278	Mental Suffering	C0278140	Severe pain	C2347948	Reluctance	C1962977	Pain NOS Adverse Event	C0879626	Adverse effects																																																																																
7214	7305044	C1333034	Chronic Cancer Pain	C0232491	Chronic abdominal pain	C1306459	Primary malignant neoplasm	C0582147	At risk of infection	C0344307	Absence of pain sensation	C0449381	Observation parameter	C0344307	Absence of pain sensation	C0220929	Mental tolerance	C0220929	Mental tolerance	C0150055	Chronic pain	C1291732	Treatment pain																																																																						
7215	7305041	C0030201	Pain, Postoperative	C0476481	Chronic intractable pain	C0085625	Hypoalgesia	C0151956	Increased tolerance	C0234244	Tissue Pain	C1962977	Pain NOS Adverse Event	C0085625	Hypoalgesia	C0543488	Interested	C1962977	Pain NOS Adverse Event	C0543488	Interested	C0007462	Causalgia	C0150312	Present																																																																				
7216	7304514	C0001973	Alcoholic Intoxication, Chronic	C1408353	Undiagnosed	C0001973	Alcoholic Intoxication, Chronic	C0001973	Alcoholic Intoxication, Chronic	C0001973	Alcoholic Intoxication, Chronic	C0455500	H/O: alcoholism	C2004062	History of previous events	C0687132	heavy drinking	C0552479	Alcohol use history	C0001973	Alcoholic Intoxication, Chronic	C0001973	Alcoholic Intoxication, Chronic	C2004062	History of previous events	C0687132	heavy drinking	C0552479	Alcohol use history	C0001973	Alcoholic Intoxication, Chronic	C1514241	Positive Finding	C0001973	Alcoholic Intoxication, Chronic	C2004062	History of previous events	C0687132	heavy drinking	C0552479	Alcohol use history																																																				
7217	7304513	C0524662	Opiate Addiction	C3845593	Major change	C0004271	Attitude	C0026605	Motivation	C0871174	psychodynamics	C1510472	Drug Dependence																																																																																
7218	7304510	C0013146	Drug abuse	C0020517	Hypersensitivity	C0442726	Detected (finding)	C0013146	Drug abuse	C0019337	Heroin Dependence	C0600241	heroin abuse	C1273517	Used by	C0013146	Drug abuse	C0150312	Present	C1535939	Pneumocystis jiroveci pneumonia	C0150312	Present	C2825141	Experimental Finding	C1535939	Pneumocystis jiroveci pneumonia	C0020517	Hypersensitivity																																																																
7219	7304508	C2825032	Withdrawal (dysfunction)	C0041674	Unemployment																																																																																								
7220	7304505	C0013146	Drug abuse	C0013146	Drug abuse	C0425152	Engaged to be married	C0445223	Related personal status	C0242510	Drug usage	C0242510	Drug usage	C0242510	Drug usage																																																																														
7221	7301882	C1518681	Outcome of Therapy	C0038435	Stress	C1720436	Under anesthesia	C1287298	Urine volume finding	C0750484	Confirmation	C2825142	Experimental Result	C0038435	Stress																																																																														
7222	7301879	C1720436	Under anesthesia	C0009647	Conditioning (Psychology)	C0036974	Shock	C2825142	Experimental Result																																																																																				
7223	7293714																																																																																												
7224	7287911	C1273517	Used by	C3843766	<50																																																																																								
7225	7286059	C0442749	6/5	C0013220	Drug Tolerance																																																																																								
7226	7279052	C0150312	Present																																																																																										
7227	7270939	C0004268	Attention	C0948482	analgesic effect	C0541990	good effect	C0948482	analgesic effect	C3844638	Either																																																																																		
7228	7270936	C1720436	Under anesthesia																																																																																										
7229	7269780	C0036602	Self Stimulation	C0036602	Self Stimulation	C0449381	Observation parameter	C1319171	Medication response	C0683954	research results	C0035397	Rewards																																																																																
7230	7267405	C0428642	Pulmonary artery pressure	C2825142	Experimental Result	C0042345	Varicosity	C0042345	Varicosity	C0442726	Detected (finding)	C0442726	Detected (finding)	C4321237	High Level	C2825142	Experimental Result																																																																												
7231	7262307	C1963091	Diarrhea Adverse Event	C1963091	Diarrhea Adverse Event	C1273518	Responsible to																																																																																						
7232	7259725	C0677607	Hashimoto Disease	C0014518	Toxic Epidermal Necrolysis	C0150312	Present	C0332149	Possible	C1551357	intended - ParticipationSignature																																																																																		
7233	7258704	C3838679	4+ Answer to question	C1963138	Hypertension Adverse Event	C0857121	Hypertensive (finding)	C0449381	Observation parameter	C1273937	Not significant	C1268766	Blood pressure alteration (finding)	C0428776	Cardiac index	C0332155	Did not receive therapy or drug for	C1272641	Systemic arterial pressure	C0237834	Resistance (Psychotherapeutic)	C0428776	Cardiac index																																																																						
7234	7255511	C3843765	65+	C0087136	Unmarried	C0332128	Examined	C0087136	Unmarried	C0558058	Reflecting	C0678798	Adverse drug interaction																																																																																
7235	7255508	C0428776	Cardiac index	C0442749	6/5																																																																																								
7236	7252094	C0699809	Does carry	C0152156	Obstructed labor	C0474460	Onset of labor first stage	C0004271	Attitude	C1273517	Used by																																																																																		
7237	7247051	C0442760	3/9	C0474368	Labor Pain	C0564405	Feeling relief	C0012359	Pathological Dilatation	C0518087	Pain level	C0242428	Satisfaction	C0085625	Hypoalgesia	C0474469	Duration of first stage of labor	C2825142	Experimental Result	C4321237	High Level	C0311392	Physical findings	C0344315	Depressed mood																																																																				
7238	7240669	C3838679	4+ Answer to question	C0020514	Hyperprolactinemia	C0033375	Prolactinoma	C0001721	Affect (mental function)	C0580441	Prolactin level normal	C0033375	Prolactinoma	C0020514	Hyperprolactinemia	C0020514	Hyperprolactinemia	C0020619	Hypogonadism	C0020514	Hyperprolactinemia																																																																								
7239	7237924	C0243095	Finding	C0028778	Obstruction	C3838679	4+ Answer to question	C2825142	Experimental Result	C0034063	Pulmonary Edema																																																																																		
7240	7237203	C0234425	Level of consciousness	C1306868	Lightening of fetus	C0424540	Response to stimulus finding	C0036973	Shivering	C1963179	Nausea Adverse Event	C1963281	Vomiting Adverse Event	C0004448	Awareness	C0013117	Dreams	C0445356	Unrelated (finding)	C1963179	Nausea Adverse Event	C1963281	Vomiting Adverse Event																																																																						
7241	7232483	C0878751	late pregnancy	C2825142	Experimental Result	C0150312	Present	C0600457	Gravidity	C0036916	Sexually Transmitted Diseases																																																																																		
7242	7227623	C0013220	Drug Tolerance	C0596240	Cancer Pain	C1268766	Blood pressure alteration (finding)	C0235195	Sedated state	C0043352	Xerostomia																																																																																		
7243	7227622	C0013220	Drug Tolerance	C0278140	Severe pain	C3842675	Day 3	C0014518	Toxic Epidermal Necrolysis	C0235195	Sedated state	C0012833	Dizziness	C0012833	Dizziness	C1963237	Insomnia Adverse Event	C0018681	Headache																																																																										
7244	7227285	C0039082	Syndrome	C0152128	Drug withdrawal syndrome	C0700285	Drug addict	C0036347	Schizophrenia, Disorganized	C0013220	Drug Tolerance	C0700285	Drug addict	C1827425	At risk for acute confusion	C0011206	Delirium	C0459920	Abstract thinking ability	C1510472	Drug Dependence																																																																								
7245	7224316	C0232189	Alteration in heart rate (finding)	C0855329	Electrocardiographic changes	C0450407	ph+	C2825142	Experimental Result																																																																																				
7246	7219649	C0018674	Craniocerebral Trauma	C0020578	Hyperventilation	C0596793	Intracranial hematoma	C1306577	Death (finding)	C0917808	Vegetative State	C0278250	Prognosis good	C3258050	Possible injury	C0018674	Craniocerebral Trauma																																																																												
7247	7213505	C0014518	Toxic Epidermal Necrolysis	C0241311	post operative (finding)	C3838679	4+ Answer to question	C2371925	Predictability	C1509143	Physical assessment findings																																																																																		
7248	7211235	C4288557	One Activity Hour	C4288557	One Activity Hour	C0086045	Mental concentration	C0037088	Signs and Symptoms	C0011570	Mental Depression	C2362914	clinical depression	C0243095	Finding	C0086045	Mental concentration	C4036057	Too low	C0011570	Mental Depression																																																																								
7249	7205318	C0150055	Chronic pain																																																																																										
7250	7199331	C3844638	Either	C1963065	Apnea Adverse Event	C0424522	Asleep	C0332218	Difficult (qualifier value)	C1273517	Used by	C0240320	medication use	C0018524	Hallucinations	C0233571	excitement emotion	C1963281	Vomiting Adverse Event	C3843156	Less often	C0002622	Amnesia	C0234422	Awake	C0871633	desire																																																																		
7251	7198474	C2825142	Experimental Result	C4281574	Much																																																																																								
7252	7197780	C3844638	Either	C3843708	29+	C0007370	Catalepsy																																																																																						
7253	7195582	C0037420	Social Interaction	C0038271	Stereotyped Behavior	C0038272	Stereotyping	C0677505	Behaviors and observations relating to behavior	C0038271	Stereotyped Behavior	C0037420	Social Interaction	C0001721	Affect (mental function)																																																																														
7254	7195294	C0080194	Muscle strain	C0086045	Mental concentration	C3843766	<50	C3843765	65+	C2825142	Experimental Result	C0036572	Seizures	C0236663	Alcohol withdrawal syndrome	C0036572	Seizures	C0445223	Related personal status	C0428670	Nitrous oxide concentration	C0036572	Seizures	C0750414	weight loss acute	C2825142	Experimental Result	C2826729	Physical Exam Result	C0439857	Dependence	C2825142	Experimental Result	C0439857	Dependence	C2825142	Experimental Result	C0278080	Physical addiction	C0524662	Opiate Addiction	C0278080	Physical addiction																																																		
7255	7194622	C2825032	Withdrawal (dysfunction)	C0220929	Mental tolerance	C1332555	Biphasic Pattern	C1514241	Positive Finding	C2825032	Withdrawal (dysfunction)	C2825032	Withdrawal (dysfunction)	C2825142	Experimental Result	C0220929	Mental tolerance	C0439857	Dependence																																																																										
7256	7193855	C1709098	Muscle Stimulation	C0596002	Observation of reflex	C0871393	vestibular stimulation	C0028738	Nystagmus	C0028738	Nystagmus	C1720436	Under anesthesia	C0596002	Observation of reflex	C0596002	Observation of reflex	C0596002	Observation of reflex	C0596002	Observation of reflex	C0442749	6/5																																																																						
7257	7192957	C1273517	Used by	C1273517	Used by	C3843766	<50	C1299583	Independently able	C3641827	Agree	C3843766	<50	C3843766	<50	C0150312	Present																																																																												
7258	7192945	C0332128	Examined	C3838679	4+ Answer to question	C0086045	Mental concentration																																																																																						
7259	7114513	C1273517	Used by	C3843708	29+	C0489749	Rectal temperature	C0241311	post operative (finding)																																																																																				
7260	7053022	C0241311	post operative (finding)	C0948482	analgesic effect																																																																																								
7261	7041624	C0155927	Excessive attrition of teeth	C0150312	Present	C0332128	Examined	C0332218	Difficult (qualifier value)	C0155927	Excessive attrition of teeth																																																																																		
7262	7027723	C0027066	Myoclonus	C0427086	Involuntary Movements																																																																																								
7263	7026772	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C2825142	Experimental Result	C0344307	Absence of pain sensation	C2825142	Experimental Result	C2825142	Experimental Result	C0600138	Does play	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C2347379	Observation Result	C0344307	Absence of pain sensation																																																																		
7264	7022398	C2825142	Experimental Result	C0086168	Dissociation	C0031511	Pheochromocytoma	C0027651	Neoplasms	C2825142	Experimental Result	C0031511	Pheochromocytoma	C0027651	Neoplasms																																																																														
7265	7021262	C0278140	Severe pain	C0564405	Feeling relief	C0449381	Observation parameter																																																																																						
7266	7020439	C0516918	Financial resources	C1704632	Disease Response	C1306597	Psychiatric problem	C0033213	Problem	C0524661	Narcotic Abuse	C0162340	Comprehension	C0392347	Hope (emotion)	C0740209	Encounter due to counseling	C0038454	Cerebrovascular accident																																																																										
7267	7012655	C3843766	<50	C2984079	Somewhat	C1953353	Amino acid change																																																																																						
7268	7011184	C0150312	Present	C0150312	Present																																																																																								
7269	7010947	C4284035	Partial Response with Lymphocytosis	C2825142	Experimental Result	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis	C1720436	Under anesthesia	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis	C2825142	Experimental Result	C4284035	Partial Response with Lymphocytosis																																																																								
7270	7009257	C0085639	Falls	C0582148	Pain score	C3842675	Day 3	C0879626	Adverse effects	C0879626	Adverse effects																																																																																		
7271	7006657	C0232495	Lower abdominal pain	C0879626	Adverse effects																																																																																								
7272	7006411	C0015663	Fasting	C0001721	Affect (mental function)	C3844638	Either	C0013126	Intrinsic drive	C1955473	Others - Allergy																																																																																		
7273	7005427	C4518791	Opiate tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance	C0150312	Present	C0220929	Mental tolerance	C0018790	Cardiac Arrest	C0150312	Present	C0242428	Satisfaction	C0220929	Mental tolerance	C0427514	Right shifted white blood cells	C0086045	Mental concentration	C0220929	Mental tolerance	C1446409	Positive	C2825142	Experimental Result	C0220929	Mental tolerance																																																														
7274	6979743	C2828386	Pass (indicator)	C3838679	4+ Answer to question																																																																																								
7275	6974948	C0237834	Resistance (Psychotherapeutic)	C2360800	Number of patients	C0039869	Thinking, function	C0332219	Easy	C0919726	Postoperative hypertension	C1963138	Hypertension Adverse Event	C0033213	Problem	C0857121	Hypertensive (finding)																																																																												
7276	6973988	C0030193	Pain	C2911692	Response (communication)	C0849912	Emotional	C2984079	Somewhat	C0085281	Addictive Behavior																																																																																		
7277	6973987	C0241311	post operative (finding)	C0030193	Pain	C2697368	Gastrointestinal irritation	C0422837	Neurological observations																																																																																				
7278	6973490	C0948482	analgesic effect	C1295692	Abnormal serotonin	C1709157	Negative Surgical Margin	C0948482	analgesic effect	C0030193	Pain	C0344307	Absence of pain sensation																																																																																
7279	6970110	C0036916	Sexually Transmitted Diseases																																																																																										
7280	6942715	C0233401	Psychiatric symptom	C0740209	Encounter due to counseling	C0039869	Thinking, function	C3844126	Can Do Very Little	C0543488	Interested																																																																																		
7281	6942711	C1955473	Others - Allergy	C3838679	4+ Answer to question	C0023895	Liver diseases	C0679272	polydrug abuse	C0687132	heavy drinking	C0023895	Liver diseases	C0679272	polydrug abuse	C0687132	heavy drinking																																																																												
7282	6939260	C0026848	Myopathy	C0087130	Uncertainty	C1821461	Close Relationship	C0026848	Myopathy	C0150312	Present	C0150312	Present	C0039082	Syndrome																																																																														
7283	6935400	C1273517	Used by	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C0449381	Observation parameter																																																																																		
7284	6913414	C0150312	Present	C2825142	Experimental Result	C1273517	Used by	C0150312	Present	C1514241	Positive Finding	C0150312	Present	C0150312	Present	C0150312	Present																																																																												
7285	6894066	C0345967	Malignant mesothelioma	C0278140	Severe pain	C0008031	Chest Pain	C1145670	Respiratory Failure	C1273517	Used by	C0520918	Decreased metabolic requirement	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event																																																																												
7286	6893898	C0596545	Experience	C1962977	Pain NOS Adverse Event	C0235063	Respiratory Depression																																																																																						
7287	6890206	C0332128	Examined	C3151529	Lethal	C0001721	Affect (mental function)	C0600688	Toxic effect																																																																																				
7288	6802622	C3840892	Day 4																																																																																										
7289	6798611	C0035397	Rewards	C0035397	Rewards																																																																																								
7290	6798602	C3845350	At least daily	C0038561	Submersion	C1444656	Indicated	C4518791	Opiate tolerance	C1554187	Gender Status - Intact																																																																																		
7291	6798601	C0162703	Pain Threshold	C0220929	Mental tolerance	C1306597	Psychiatric problem	C1306597	Psychiatric problem	C0162703	Pain Threshold	C0235146	Euphoric mood	C1709157	Negative Surgical Margin	C0039869	Thinking, function	C3483981	Depression score	C0015672	Fatigue	C0338656	Impaired cognition	C0036849	Set (Psychology)	C0003467	Anxiety	C0020039	Hostility	C0015672	Fatigue	C0338656	Impaired cognition	C0013987	Emotions	C0030971	Perception	C1709157	Negative Surgical Margin	C0039869	Thinking, function	C0020039	Hostility	C0015672	Fatigue	C0338656	Impaired cognition	C0013987	Emotions	C0030971	Perception	C1709157	Negative Surgical Margin	C0039869	Thinking, function	C0456441	Increased pain threshold	C0220929	Mental tolerance	C0003467	Anxiety	C1962977	Pain NOS Adverse Event	C2825142	Experimental Result	C0003808	Arousal	C0422837	Neurological observations	C1866932	Decreased pain sensitivity	C0948482	analgesic effect																				
7292	6797046	C0085639	Falls	C0344315	Depressed mood	C0332128	Examined	C0700292	Hypoxemia	C1273517	Used by	C1273517	Used by	C1273517	Used by																																																																														
7293	6795827	C0332128	Examined	C0332128	Examined	C0332128	Examined	C3843766	<50	C0424099	Reduced concentration	C0150312	Present	C0004268	Attention																																																																														
7294	6795660	C0150312	Present	C2825142	Experimental Result																																																																																								
7295	6795659	C0003123	Anorexia	C0221198	Lesion	C0332128	Examined	C0003123	Anorexia	C0221198	Lesion	C0221198	Lesion	C0003123	Anorexia	C0003123	Anorexia	C0442797	Decreasing	C0003123	Anorexia	C0221198	Lesion	C0221198	Lesion	C0003123	Anorexia																																																																		
7296	6795658	C1535939	Pneumocystis jiroveci pneumonia	C0424295	Hyperactive behavior	C0038273	Stereotypic Movement Disorder	C1535939	Pneumocystis jiroveci pneumonia	C0038271	Stereotyped Behavior	C0424295	Hyperactive behavior	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C0038271	Stereotyped Behavior	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C0038271	Stereotyped Behavior	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C0038271	Stereotyped Behavior	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C0038271	Stereotyped Behavior	C0683954	research results	C1535939	Pneumocystis jiroveci pneumonia	C0033975	Psychotic Disorders																																																		
7297	6794327	C3843766	<50	C0441960	N2 category	C3843766	<50	C0441960	N2 category	C0489618	pupil diameter	C0428679	Minute volume	C1299583	Independently able	C0728710	Pupil constriction observed	C0879626	Adverse effects																																																																										
7298	6794082	C0080194	Muscle strain	C0023185	Learning	C2825142	Experimental Result	C1955473	Others - Allergy	C0080194	Muscle strain	C0150312	Present	C4281574	Much	C1272708	Outcome of action																																																																												
7299	6794076	C0038587	Substance Withdrawal Syndrome	C0026552	Morphine Dependence	C0311392	Physical findings	C3845288	Strong positive	C0038587	Substance Withdrawal Syndrome																																																																																		
7300	6794074	C0332128	Examined	C0920763	feeding schedule	C2825142	Experimental Result	C0150312	Present																																																																																				
7301	6791231	C0423084	Pursuit eye movement	C0014877	Esotropia	C0743675	eye change	C0028968	Olivopontocerebellar Atrophies																																																																																				
7302	6791230	C0028968	Olivopontocerebellar Atrophies																																																																																										
7303	6791229	C0150312	Present	C0001721	Affect (mental function)																																																																																								
7304	6791227	C2825142	Experimental Result	C1444656	Indicated	C0205160	Negative	C0684320	Disease regression	C1290955	drug dependent																																																																																		
7305	6791215	C0332128	Examined	C0919661	alternation	C0919661	alternation																																																																																						
7306	6791206	C0009647	Conditioning (Psychology)	C1518681	Outcome of Therapy	C3842672	Day 7	C0344315	Depressed mood	C0036602	Self Stimulation	C0036602	Self Stimulation	C0011570	Mental Depression	C0011570	Mental Depression	C0344315	Depressed mood	C0870225	Brain Self Stimulation procedure	C0442726	Detected (finding)																																																																						
7307	6791198	C3844638	Either	C0036602	Self Stimulation	C0442797	Decreasing	C0442797	Decreasing	C0011581	Depressive disorder	C0036602	Self Stimulation	C0562476	Self-stimulative behavior																																																																														
7308	6791015	C0332128	Examined																																																																																										
7309	6791011	C0019337	Heroin Dependence	C4281574	Much	C1273517	Used by																																																																																						
7310	6791009	C3843766	<50	C1320408	Urinary elimination status	C0850310	Possessed	C1331418	Comfort	C0748864	small size	C0332219	Easy	C0342895	Fish-Eye Disease	C0043094	Weight Gain	C0086045	Mental concentration																																																																										
7311	6791007	C0700329	Physical shape	C1273517	Used by	C0392674	Exhaustion																																																																																						
7312	6791005	C0871633	desire	C0086045	Mental concentration	C0237607	Practice Experience	C1273517	Used by																																																																																				
7313	6791001	C3843494	Medication 1																																																																																										
7314	6789360	C0150312	Present																																																																																										
7315	6787642	C0038587	Substance Withdrawal Syndrome	C0038587	Substance Withdrawal Syndrome	C3842672	Day 7	C3840892	Day 4	C1262477	Weight decreased	C2911645	Weight Loss Adverse Event	C0436343	Symptom mild	C1262477	Weight decreased	C2911645	Weight Loss Adverse Event	C0003123	Anorexia	C1262477	Weight decreased	C2911645	Weight Loss Adverse Event	C0038587	Substance Withdrawal Syndrome	C0311392	Physical findings	C1955473	Others - Allergy	C0475747	Deep anesthesia	C1444656	Indicated	C1720436	Under anesthesia	C0038587	Substance Withdrawal Syndrome																																																						
7316	6787639	C0278080	Physical addiction	C0439857	Dependence	C0278080	Physical addiction	C2911645	Weight Loss Adverse Event	C0086045	Mental concentration	C3838679	4+ Answer to question	C2911645	Weight Loss Adverse Event	C2825142	Experimental Result	C0086045	Mental concentration	C2911645	Weight Loss Adverse Event																																																																								
7317	6785803	C3838679	4+ Answer to question	C0344307	Absence of pain sensation	C0080194	Muscle strain	C0080194	Muscle strain	C0086168	Dissociation	C0037088	Signs and Symptoms																																																																																
7318	6785783	C0429964	Dependent for dressing	C0184512	Stabilized (qualifier value)	C3843787	10 - 12	C0087136	Unmarried	C3838679	4+ Answer to question	C0474396	Sleep behavior finding	C0234422	Awake	C3843766	<50	C3838679	4+ Answer to question	C0277791	Absence of signs	C0029104	Opioid withdrawal	C0600688	Toxic effect	C0234422	Awake	C0474396	Sleep behavior finding	C2825142	Experimental Result																																																														
7319	6784982	C0085639	Falls	C0085639	Falls																																																																																								
7320	6784144	C0012632	Discrimination (process of differentiation)																																																																																										
7321	6782614	C0011581	Depressive disorder	C0489749	Rectal temperature	C0020672	Hypothermia, natural	C0015967	Fever	C1301797	Induced hypothermia (finding)	C3665474	temperature reported under 100 degrees Fahrenheit	C1301797	Induced hypothermia (finding)	C0020672	Hypothermia, natural	C2825142	Experimental Result	C1301797	Induced hypothermia (finding)																																																																								
7322	6782608	C1704632	Disease Response	C0012632	Discrimination (process of differentiation)	C0017324	Generalization (Psychology)	C2825032	Withdrawal (dysfunction)	C0012632	Discrimination (process of differentiation)																																																																																		
7323	6782604	C3842057	Environmental-hypothermia	C0009647	Conditioning (Psychology)	C0015967	Fever	C0234403	Unconditioned stimulus	C0020672	Hypothermia, natural	C0009647	Conditioning (Psychology)	C0015967	Fever	C0020672	Hypothermia, natural	C0020672	Hypothermia, natural	C0009647	Conditioning (Psychology)	C0015967	Fever																																																																						
7324	6765385	C0871174	psychodynamics	C0278079	Psychological addiction	C0162340	Comprehension	C1510472	Drug Dependence	C0029266	Mental Orientation	C0556386	Finding relating to drug misuse behavior	C0439857	Dependence	C0871174	psychodynamics																																																																												
7325	6461372	C2825142	Experimental Result																																																																																										
7326	6455284	C1273517	Used by	C2825142	Experimental Result	C1843013	Alzheimer disease, familial, type 3	C1843013	Alzheimer disease, familial, type 3	C0024299	Lymphoma	C1843013	Alzheimer disease, familial, type 3	C0596988	mutant	C1444656	Indicated	C2825142	Experimental Result	C0030482	Paraphilias	C0750484	Confirmation	C0040715	Chromosomal translocation	C0007294	Genetic Carriers																																																																		
7327	6455283	C1273517	Used by	C2825142	Experimental Result	C2825142	Experimental Result	C1273517	Used by	C1522021	Mouse Lymphoma	C1705285	Mutation Abnormality	C1843013	Alzheimer disease, familial, type 3	C0596988	mutant	C1444656	Indicated	C2825142	Experimental Result	C0030482	Paraphilias	C1705285	Mutation Abnormality	C1843013	Alzheimer disease, familial, type 3	C0596988	mutant	C0030482	Paraphilias																																																														
7328	6454367	C0234421	Conscious	C2825142	Experimental Result	C0277564	Acquired disease	C0879626	Adverse effects	C1145670	Respiratory Failure	C0085639	Falls	C0546816	Persistence	C0428977	Bradycardia	C0020649	Hypotension	C4281574	Much	C0879626	Adverse effects	C0013987	Emotions	C0042963	Vomiting	C0235146	Euphoric mood																																																																
7329	6454366	C0234421	Conscious	C0683278	Mental Suffering	C0030193	Pain	C0015459	Facial Injuries	C0442765	20/400	C0425946	Short menstrual periods																																																																																
7330	6452786	C0039082	Syndrome	C0333641	Atrophic																																																																																								
